A79849
A79851
A79863
A99244
AB000604	BAA75824	gb|AB000604:4-1128	BAA75825	(gb|AB000604:4-731, 960)	BAA75826	gb|AB000604:709-1128
AB000605	BAA75827	gb|AB000605:4-1128	BAA75828	(gb|AB000605:4-731, 960)	BAA75829	gb|AB000605:709-1128
AB000606	BAA75830	gb|AB000606:4-1128	BAA75831	(gb|AB000606:4-731, 960)	BAA75832	gb|AB000606:709-1128
AB000607	BAA75833	gb|AB000607:4-1128	BAA75834	(gb|AB000607:4-731, 960)	BAA75835	gb|AB000607:709-1128
AB000608	BAA75836	gb|AB000608:4-1128	BAA75837	(gb|AB000608:4-731, 960)	BAA75838	gb|AB000608:709-1128
AB000609	BAA75839	gb|AB000609:4-1128	BAA75840	(gb|AB000609:4-731, 960)	BAA75841	gb|AB000609:709-1128
AB000610	BAA75842	gb|AB000610:4-1128	BAA75843	(gb|AB000610:4-731, 960)	BAA75844	gb|AB000610:709-1128
AB000611	BAA75845	gb|AB000611:4-1128	BAA75846	(gb|AB000611:4-731, 960)	BAA75847	gb|AB000611:709-1128
AB000612	BAA75848	gb|AB000612:5-1129	BAA75849	(gb|AB000612:5-732, 961)	BAA75850	gb|AB000612:710-1129
AB000613	BAA75851	gb|AB000613:4-1128	BAA75852	(gb|AB000613:4-731, 960)	BAA75853	gb|AB000613:709-1128
AB000614	BAA75854	gb|AB000614:4-1128	BAA75855	(gb|AB000614:4-731, 960)	BAA75856	gb|AB000614:709-1128
AB000720	BAA75857	gb|AB000720:4-1128	BAA75858	(gb|AB000720:4-731, 960)	BAA75859	gb|AB000720:709-1128
AB000721	BAA75860	gb|AB000721:5-1129	BAA75861	(gb|AB000721:5-732, 961)	BAA75862	gb|AB000721:710-1129
AB000722	BAA75863	gb|AB000722:4-1128	BAA75864	(gb|AB000722:4-731, 960)	BAA75865	gb|AB000722:709-1128
AB000723	BAA75866	gb|AB000723:4-1128	BAA75867	(gb|AB000723:4-731, 960)	BAA75868	gb|AB000723:709-1128
AB000724	BAA75869	gb|AB000724:4-1128	BAA75870	(gb|AB000724:4-731, 960)	BAA75871	gb|AB000724:709-1128
AB000725	BAA75872	gb|AB000725:4-1128	BAA75873	(gb|AB000725:4-731, 960)	BAA75874	gb|AB000725:709-1128
AB000726	BAA75875	gb|AB000726:5-1129	BAA75876	(gb|AB000726:5-732, 961)	BAA75877	gb|AB000726:710-1129
AB000727	BAA75878	gb|AB000727:5-1129	BAA75879	(gb|AB000727:5-732, 961)	BAA75880	gb|AB000727:710-1129
AB000728	BAA75881	gb|AB000728:4-1128	BAA75882	(gb|AB000728:4-731, 960)	BAA75883	gb|AB000728:709-1128
AB002469	BAA19602	(gb|AB002469:23-209, 523-884)	BAA19603	gb|AB002469:23-763
AB013806	BAA77284	gb|AB013806:<1->710
CY003287	ABA42574	gb|CY003287:27-2306
CY003288	ABA42575	gb|CY003288:22-1719
CY003289	ABA42576	gb|CY003289:22-780	ABA42577	(gb|CY003289:22-47, 736-1003)
CY003290	ABA42578	gb|CY003290:8-1420
CY003291	ABA42579	gb|CY003291:46-1542
CY003292	ABA42580	gb|CY003292:25-717	ABA42581	(gb|CY003292:25-54, 527-862)
CY003293	ABA42582	gb|CY003293:21-2171
CY003294	ABA42583	gb|CY003294:1-2274	ABA42584	gb|CY003294:95-268
CY003295	ABA42585	gb|CY003295:24-2303
CY003296	ABA87057	gb|CY003296:<1-1695
CY003297	ABA87058	gb|CY003297:22-780	ABA87059	(gb|CY003297:22-47, 736-1003)
CY003298	ABA87060	gb|CY003298:8-1420
CY003299	ABA87061	gb|CY003299:46-1542
CY003300	ABA87062	gb|CY003300:25-717	ABA87063	(gb|CY003300:25-54, 527-862)
CY003301	ABA87064	gb|CY003301:21-2171
CY003302	ABA87065	gb|CY003302:24-2297	ABA87066	gb|CY003302:118-291
CY003303	ABA87067	gb|CY003303:26-2305
CY003304	ABA87080	gb|CY003304:29-1726
CY003305	ABA87081	gb|CY003305:22-780	ABA87082	(gb|CY003305:22-47, 736-1003)
CY003306	ABA87083	gb|CY003306:8-1420
CY003307	ABA87084	gb|CY003307:20-1516
CY003308	ABA87085	gb|CY003308:<1-689	ABA87086	(gb|CY003308:<1-26, 499-834)
CY003309	ABA87087	gb|CY003309:24-2174
CY003310	ABA87088	gb|CY003310:14-2287	ABA87089	gb|CY003310:108-281
CY003311	ABA87090	gb|CY003311:15-2294
CY003312	ABA87045	gb|CY003312:29-1726
CY003313	ABA87046	gb|CY003313:22-780	ABA87047	(gb|CY003313:22-47, 736-1003)
CY003314	ABA87048	gb|CY003314:19-1431
CY003315	ABA87049	gb|CY003315:46-1542
CY003316	ABA87050	gb|CY003316:25-717	ABA87051	(gb|CY003316:25-54, 527-862)
CY003317	ABA87052	gb|CY003317:23-2173
CY003318	ABA87053	gb|CY003318:14-2287	ABA87054	gb|CY003318:108-281
CY003319	ABA87055	gb|CY003319:1-2280
CY003320	ABA87091	gb|CY003320:21-1718
CY003321	ABA87092	gb|CY003321:22-780	ABA87093	(gb|CY003321:22-47, 736-1003)
CY003322	ABA87094	gb|CY003322:8-1420
CY003323	ABA87095	gb|CY003323:34-1530
CY003324	ABA87096	gb|CY003324:27-719	ABA87097	(gb|CY003324:27-56, 529->855)
CY003325	ABA87098	gb|CY003325:21-2171
CY003326	ABA87099	gb|CY003326:14-2287	ABA87100	gb|CY003326:108-281
CY003327	ABA87101	gb|CY003327:<1-2276
CY003328	ABA87231	gb|CY003328:1-1698
CY003329	ABA87232	gb|CY003329:15-773	ABA87233	(gb|CY003329:15-40, 729-996)
CY003330	ABA87234	gb|CY003330:6-1418
CY003331	ABA87235	gb|CY003331:18-1514
CY003332	ABA87236	gb|CY003332:<1-689	ABA87237	(gb|CY003332:<1-26, 499-834)
CY003333	ABA87238	gb|CY003333:21-2171
CY003334	ABA87239	gb|CY003334:1-2274	ABA87240	gb|CY003334:95-268
CY003335	ABA87241	gb|CY003335:16-2295
CY003336	ABA87242	gb|CY003336:9-1709
CY003337	ABA87243	gb|CY003337:1-759	ABA87244	(gb|CY003337:1-26, 715-982)
CY003338	ABA87245	gb|CY003338:<1-1407
CY003339	ABA87246	gb|CY003339:23-1519
CY003340	ABA87247	gb|CY003340:25-717	ABA87248	(gb|CY003340:25-54, 527-862)
CY003341	ABA87249	gb|CY003341:13-2163
CY003342	ABA87250	gb|CY003342:1-2274	ABA87251	gb|CY003342:95-367
CY003343	ABA87252	gb|CY003343:27-2306
CY003344	ABA87253	gb|CY003344:11-1711
CY003345	ABA87254	gb|CY003345:25-783	ABA87255	(gb|CY003345:25-50, 739-1006)
CY003346	ABA87256	gb|CY003346:1->1404
CY003347	ABA87257	gb|CY003347:1->1488
CY003348	ABA87258	gb|CY003348:25-717	ABA87259	(gb|CY003348:25-54, 527-862)
CY003349	ABA87260	gb|CY003349:1-2151
CY003350	ABA87261	gb|CY003350:7-2280	ABA87262	gb|CY003350:101-373
CY003351	ABA87263	gb|CY003351:4-2283
CY003352	ABB96509	gb|CY003352:9-1709
CY003353	ABB96510	gb|CY003353:14-772	ABB96511	(gb|CY003353:14-39, 728-995)
CY003354	ABB96512	gb|CY003354:<1-1407
CY003355	ABB96513	gb|CY003355:34-1530
CY003356	ABB96514	gb|CY003356:6-719	ABB96515	(gb|CY003356:6-35, 508-843)
CY003357	ABB96516	gb|CY003357:25-2175
CY003358	ABB96517	gb|CY003358:1-2274	ABB96518	gb|CY003358:95-367
CY003359	ABB96519	gb|CY003359:4-2283
CY003368	ABB02781	gb|CY003368:12-1709
CY003369	ABB02782	gb|CY003369:1-759	ABB02783	(gb|CY003369:1-26, 715-982)
CY003370	ABB02784	gb|CY003370:18-1427
CY003371	ABB02785	gb|CY003371:23-1519
CY003372	ABB02786	gb|CY003372:25-717	ABB02787	(gb|CY003372:25-54, 527-862)
CY003373	ABB02788	gb|CY003373:1-2151
CY003374	ABB02789	gb|CY003374:1-2274	ABB02790	gb|CY003374:95-367
CY003375	ABB02791	gb|CY003375:4-2283
CY003376	ABB02792	gb|CY003376:22-1719
CY003377	ABB02793	gb|CY003377:26-784	ABB02794	(gb|CY003377:26-51, 740-1007)
CY003378	ABB02795	gb|CY003378:20-1432
CY003379	ABB02796	gb|CY003379:46-1542
CY003380	ABB02797	gb|CY003380:27-719	ABB02798	(gb|CY003380:27-56, 529-864)
CY003381	ABB02799	gb|CY003381:23-2173
CY003382	ABB02800	gb|CY003382:25-2298	ABB02801	gb|CY003382:119-292
CY003383	ABB02802	gb|CY003383:24-2303
CY003384	ABB02803	gb|CY003384:22-1719
CY003385	ABB02804	gb|CY003385:22-780	ABB02805	(gb|CY003385:22-47, 736-1003)
CY003386	ABB02806	gb|CY003386:21-1433
CY003387	ABB02807	gb|CY003387:20-1516
CY003388	ABB02808	gb|CY003388:1-693	ABB02809	(gb|CY003388:1-30, 503-838)
CY003389	ABB02810	gb|CY003389:25-2175
CY003390	ABB02811	gb|CY003390:21-2294	ABB02812	gb|CY003390:115-288
CY003391	ABB02813	gb|CY003391:24-2303
CY003392	ABB02814	gb|CY003392:1-1698
CY003393	ABB02815	gb|CY003393:22-780	ABB02816	(gb|CY003393:22-47, 736-1003)
CY003394	ABB02817	gb|CY003394:10-1422
CY003395	ABB02818	gb|CY003395:45-1541
CY003396	ABB02819	gb|CY003396:27-719	ABB02820	(gb|CY003396:27-56, 529-864)
CY003397	ABB02821	gb|CY003397:21-2171
CY003398	ABB02822	gb|CY003398:14-2287	ABB02823	gb|CY003398:108-281
CY003399	ABB02824	gb|CY003399:24-2303
CY003400	ABB02825	gb|CY003400:22-1719
CY003401	ABB02826	gb|CY003401:26-784	ABB02827	(gb|CY003401:26-51, 740-1007)
CY003402	ABB02828	gb|CY003402:21-1433
CY003403	ABB02829	gb|CY003403:46-1542
CY003404	ABB02830	gb|CY003404:27-719	ABB02831	(gb|CY003404:27-56, 529-864)
CY003405	ABB02832	gb|CY003405:24-2174
CY003406	ABB02833	gb|CY003406:22-2295	ABB02834	gb|CY003406:116-289
CY003407	ABB02835	gb|CY003407:27-2306
CY003408	ABB02836	gb|CY003408:1-1701
CY003409	ABB02837	gb|CY003409:24-782	ABB02838	(gb|CY003409:24-49, 738-1005)
CY003410	ABB02839	gb|CY003410:1-1410
CY003411	ABB02840	gb|CY003411:23-1519
CY003412	ABB02841	gb|CY003412:6-698	ABB02842	(gb|CY003412:6-35, 508-843)
CY003413	ABB02843	gb|CY003413:1-2151
CY003414	ABB02844	gb|CY003414:7-2280	ABB02845	gb|CY003414:101-373
CY003415	ABB02846	gb|CY003415:24-2303
CY003416	ABB02847	gb|CY003416:9-1709
CY003417	ABB02848	gb|CY003417:1-759	ABB02849	(gb|CY003417:1-26, 715-982)
CY003418	ABB02850	gb|CY003418:1-1410
CY003419	ABB02851	gb|CY003419:1-1497
CY003420	ABB02852	gb|CY003420:25-717	ABB02853	(gb|CY003420:25-54, 527-862)
CY003421	ABB02854	gb|CY003421:1-2151
CY003422	ABB02855	gb|CY003422:1-2274	ABB02856	gb|CY003422:95-367
CY003423	ABB02857	gb|CY003423:4-2283
CY003424	ABB02858	gb|CY003424:18-1718
CY003425	ABB02859	gb|CY003425:24-782	ABB02860	(gb|CY003425:24-49, 738-1005)
CY003426	ABB02861	gb|CY003426:8-1417
CY003427	ABB02862	gb|CY003427:46-1542
CY003428	ABB02863	gb|CY003428:25-717	ABB02864	(gb|CY003428:25-54, 527-862)
CY003429	ABB02865	gb|CY003429:25-2175
CY003430	ABB02866	gb|CY003430:21-2294	ABB02867	gb|CY003430:115-378
CY003431	ABB02868	gb|CY003431:27-2306
CY003432	ABB02869	gb|CY003432:1-1701
CY003433	ABB02870	gb|CY003433:26-784	ABB02871	(gb|CY003433:26-51, 740-1007)
CY003434	ABB02872	gb|CY003434:8-1417
CY003435	ABB02873	gb|CY003435:34-1530
CY003436	ABB02874	gb|CY003436:27-719	ABB02875	(gb|CY003436:27-56, 529-864)
CY003437	ABB02876	gb|CY003437:3-2153
CY003438	ABB02877	gb|CY003438:13-2286	ABB02878	gb|CY003438:107-379
CY003439	ABB02879	gb|CY003439:16-2295
CY003440	ABB02880	gb|CY003440:13-1713
CY003441	ABB02881	gb|CY003441:14-772	ABB02882	(gb|CY003441:14-39, 728-995)
CY003442	ABB02883	gb|CY003442:1-1410
CY003443	ABB02884	gb|CY003443:23-1519
CY003444	ABB02885	gb|CY003444:15-707	ABB02886	(gb|CY003444:15-44, 517-852)
CY003445	ABB02887	gb|CY003445:1-2151
CY003446	ABB02888	gb|CY003446:13-2286	ABB02889	gb|CY003446:107-379
CY003447	ABB02890	gb|CY003447:1-2280
CY003448	ABB02891	gb|CY003448:18-1718
CY003449	ABB02892	gb|CY003449:26-784	ABB02893	(gb|CY003449:26-51, 740-1007)
CY003450	ABB02894	gb|CY003450:8-1417
CY003451	ABB02895	gb|CY003451:23-1519
CY003452	ABB02896	gb|CY003452:25-717	ABB02897	(gb|CY003452:25-54, 527-862)
CY003453	ABB02898	gb|CY003453:25-2175
CY003454	ABB02899	gb|CY003454:13-2286	ABB02900	gb|CY003454:107-379
CY003455	ABB02901	gb|CY003455:28-2307
CY003456	ABB02902	gb|CY003456:20-1720
CY003457	ABB02903	gb|CY003457:26-784	ABB02904	(gb|CY003457:26-51, 740-1007)
CY003458	ABB02905	gb|CY003458:8-1417
CY003459	ABB02906	gb|CY003459:34-1530
CY003460	ABB02907	gb|CY003460:6-698	ABB02908	(gb|CY003460:6-35, 508-843)
CY003461	ABB02909	gb|CY003461:13-2163
CY003462	ABB02910	gb|CY003462:13-2286	ABB02911	gb|CY003462:107-379
CY003463	ABB02912	gb|CY003463:28-2307
CY003464	ABB02913	gb|CY003464:22-1719
CY003465	ABB02914	gb|CY003465:22-780	ABB02915	(gb|CY003465:22-47, 736-1003)
CY003466	ABB02916	gb|CY003466:8-1420
CY003467	ABB02917	gb|CY003467:46-1542
CY003468	ABB02918	gb|CY003468:26-718	ABB02919	(gb|CY003468:26-55, 528-863)
CY003469	ABB02920	gb|CY003469:21-2171
CY003470	ABB02921	gb|CY003470:17-2290	ABB02922	gb|CY003470:111-284
CY003471	ABB02923	gb|CY003471:24-2303
CY003472	ABB02924	gb|CY003472:33-1730
CY003473	ABB02925	gb|CY003473:26-784	ABB02926	(gb|CY003473:26-51, 740-1007)
CY003474	ABB02927	gb|CY003474:20-1432
CY003475	ABB02928	gb|CY003475:46-1542
CY003476	ABB02929	gb|CY003476:27-719	ABB02930	(gb|CY003476:27-56, 529-864)
CY003477	ABB02931	gb|CY003477:25-2175
CY003478	ABB02932	gb|CY003478:24-2297	ABB02933	gb|CY003478:118-291
CY003479	ABB02934	gb|CY003479:24-2303
CY003480	ABB02936	gb|CY003480:22-1719
CY003481	ABB02937	gb|CY003481:22-780	ABB02938	(gb|CY003481:22-47, 736-1003)
CY003482	ABB02939	gb|CY003482:21-1433
CY003483	ABB02940	gb|CY003483:46-1542
CY003484	ABB02941	gb|CY003484:16-708	ABB02942	(gb|CY003484:16-45, 518-853)
CY003485	ABB02943	gb|CY003485:21-2171
CY003486	ABB02944	gb|CY003486:22-2295	ABB02945	gb|CY003486:116-289
CY003487	ABB02946	gb|CY003487:24-2303
CY003488	ABB04283	gb|CY003488:18-1718
CY003489	ABB04284	gb|CY003489:26-784	ABB04285	(gb|CY003489:26-51, 740-1007)
CY003490	ABB04286	gb|CY003490:20-1429
CY003491	ABB04287	gb|CY003491:34-1530
CY003492	ABB04288	gb|CY003492:25-738	ABB04289	(gb|CY003492:25-54, 527-862)
CY003493	ABB04290	gb|CY003493:23-2173
CY003494	ABB04291	gb|CY003494:21-2294	ABB04292	gb|CY003494:115-387
CY003495	ABB04293	gb|CY003495:26-2305
CY003496	ABB04294	gb|CY003496:18-1718
CY003497	ABB04295	gb|CY003497:14-772	ABB04296	(gb|CY003497:14-39, 728-995)
CY003498	ABB04297	gb|CY003498:19-1428
CY003499	ABB04298	gb|CY003499:46-1542
CY003500	ABB04299	gb|CY003500:15-728	ABB04300	(gb|CY003500:15-44, 517-852)
CY003501	ABB04301	gb|CY003501:23-2173
CY003502	ABB04302	gb|CY003502:13-2286	ABB04303	gb|CY003502:107-379
CY003503	ABB04304	gb|CY003503:26-2305
CY003504	ABB04305	gb|CY003504:18-1718
CY003505	ABB04306	gb|CY003505:24-782	ABB04307	(gb|CY003505:24-49, 738-1005)
CY003506	ABB04308	gb|CY003506:8-1417
CY003507	ABB04309	gb|CY003507:34-1530
CY003508	ABB04310	gb|CY003508:27-740	ABB04311	(gb|CY003508:27-56, 529-864)
CY003509	ABB04312	gb|CY003509:23-2173
CY003510	ABB04313	gb|CY003510:21-2294	ABB04314	gb|CY003510:115-387
CY003511	ABB04315	gb|CY003511:26-2305
CY003512	ABB04316	gb|CY003512:30-1730
CY003513	ABB04317	gb|CY003513:24-782	ABB04318	(gb|CY003513:24-49, 738-1005)
CY003514	ABB04319	gb|CY003514:18-1427
CY003515	ABB04320	gb|CY003515:46-1542
CY003516	ABB04321	gb|CY003516:27-740	ABB04322	(gb|CY003516:27-56, 529-864)
CY003517	ABB04323	gb|CY003517:25-2175
CY003518	ABB04324	gb|CY003518:21-2294	ABB04325	gb|CY003518:115-387
CY003519	ABB04326	gb|CY003519:24-2303
CY003520	ABB04327	gb|CY003520:30-1730
CY003521	ABB04328	gb|CY003521:26-784	ABB04329	(gb|CY003521:26-51, 740-1007)
CY003522	ABB04330	gb|CY003522:20-1429
CY003523	ABB04331	gb|CY003523:46-1542
CY003524	ABB04332	gb|CY003524:26-739	ABB04333	(gb|CY003524:26-55, 528-863)
CY003525	ABB04334	gb|CY003525:23-2173
CY003526	ABB04335	gb|CY003526:21-2294	ABB04336	gb|CY003526:115-387
CY003527	ABB04337	gb|CY003527:27-2306
CY003528	ABB04338	gb|CY003528:18-1718
CY003529	ABB04339	gb|CY003529:14-772	ABB04340	(gb|CY003529:14-39, 728-995)
CY003530	ABB04341	gb|CY003530:8-1417
CY003531	ABB04342	gb|CY003531:34-1530
CY003532	ABB04343	gb|CY003532:25-738	ABB04344	(gb|CY003532:25-54, 527-862)
CY003533	ABB04345	gb|CY003533:23-2173
CY003534	ABB04346	gb|CY003534:13-2286	ABB04347	gb|CY003534:107-379
CY003535	ABB04348	gb|CY003535:28-2307
CY003536	ABB04349	gb|CY003536:30-1730
CY003537	ABB04350	gb|CY003537:26-784	ABB04351	(gb|CY003537:26-51, 740-1007)
CY003538	ABB04352	gb|CY003538:20-1429
CY003539	ABB04353	gb|CY003539:46-1542
CY003540	ABB04354	gb|CY003540:27-740	ABB04355	(gb|CY003540:27-56, 529-864)
CY003541	ABB04356	gb|CY003541:23-2173
CY003542	ABB04357	gb|CY003542:21-2294	ABB04358	gb|CY003542:115-387
CY003543	ABB04359	gb|CY003543:28-2307
CY003544	ABB04360	gb|CY003544:18-1718
CY003545	ABB04361	gb|CY003545:26-784	ABB04362	(gb|CY003545:26-51, 740-1007)
CY003546	ABB04363	gb|CY003546:19-1428
CY003547	ABB04364	gb|CY003547:34-1530
CY003548	ABB04365	gb|CY003548:27-740	ABB04366	(gb|CY003548:27-56, 529-864)
CY003549	ABB04367	gb|CY003549:23-2173
CY003550	ABB04368	gb|CY003550:21-2294	ABB04369	gb|CY003550:115-387
CY003551	ABB04370	gb|CY003551:27-2306
CY003552	ABB04371	gb|CY003552:18-1718
CY003553	ABB04372	gb|CY003553:26-784	ABB04373	(gb|CY003553:26-51, 740-1007)
CY003554	ABB04374	gb|CY003554:18-1427
CY003555	ABB04375	gb|CY003555:34-1530
CY003556	ABB04376	gb|CY003556:25-738	ABB04377	(gb|CY003556:25-54, 527-862)
CY003557	ABB04378	gb|CY003557:13-2163
CY003558	ABB04379	gb|CY003558:21-2294	ABB04380	gb|CY003558:115-387
CY003559	ABB04381	gb|CY003559:27-2306
CY003560	ABB02947	gb|CY003560:30-1730
CY003561	ABB02948	gb|CY003561:14-772	ABB02949	(gb|CY003561:14-39, 728-995)
CY003562	ABB02950	gb|CY003562:20-1429
CY003563	ABB02951	gb|CY003563:42-1538
CY003564	ABB02952	gb|CY003564:15-707	ABB02953	(gb|CY003564:15-44, 517-852)
CY003565	ABB02954	gb|CY003565:24-2174
CY003566	ABB02955	gb|CY003566:13-2286	ABB02956	gb|CY003566:107-346
CY003567	ABB02957	gb|CY003567:28-2307
CY003568	ABB02958	gb|CY003568:18-1718
CY003569	ABB02959	gb|CY003569:26-784	ABB02960	(gb|CY003569:26-51, 740-1007)
CY003570	ABB02961	gb|CY003570:8-1417
CY003571	ABB02962	gb|CY003571:34-1530
CY003572	ABB02963	gb|CY003572:26-718	ABB02964	(gb|CY003572:26-55, 528-863)
CY003573	ABB02965	gb|CY003573:24-2174
CY003574	ABB02966	gb|CY003574:13-2286	ABB02967	gb|CY003574:107-379
CY003575	ABB02968	gb|CY003575:16-2295
CY003576	ABB02969	gb|CY003576:18-1718
CY003577	ABB02970	gb|CY003577:26-784	ABB02971	(gb|CY003577:26-51, 740-1007)
CY003578	ABB02972	gb|CY003578:20-1429
CY003579	ABB02973	gb|CY003579:46-1542
CY003580	ABB02974	gb|CY003580:27-719	ABB02975	(gb|CY003580:27-56, 529-864)
CY003581	ABB02976	gb|CY003581:23-2173
CY003582	ABB02977	gb|CY003582:7-2280	ABB02978	gb|CY003582:101-373
CY003583	ABB02979	gb|CY003583:26-2305
CY003584	ABB02980	gb|CY003584:18-1718
CY003585	ABB02981	gb|CY003585:26-784	ABB02982	(gb|CY003585:26-51, 740-1007)
CY003586	ABB02983	gb|CY003586:18-1427
CY003587	ABB02984	gb|CY003587:23-1519
CY003588	ABB02985	gb|CY003588:25-717	ABB02986	(gb|CY003588:25-54, 527-862)
CY003589	ABB02987	gb|CY003589:23-2173
CY003590	ABB02988	gb|CY003590:7-2280	ABB02989	gb|CY003590:101-373
CY003591	ABB02990	gb|CY003591:26-2305
CY003592	ABB02991	gb|CY003592:18-1718
CY003593	ABB02992	gb|CY003593:24-782	ABB02993	(gb|CY003593:24-49, 738-1005)
CY003594	ABB02994	gb|CY003594:17-1426
CY003595	ABB02995	gb|CY003595:46-1542
CY003596	ABB02996	gb|CY003596:25-717	ABB02997	(gb|CY003596:25-54, 527-862)
CY003597	ABB02998	gb|CY003597:23-2173
CY003598	ABB02999	gb|CY003598:21-2294	ABB03000	gb|CY003598:115-387
CY003599	ABB03001	gb|CY003599:26-2305
CY003600	ABB03002	gb|CY003600:28-1728
CY003601	ABB03003	gb|CY003601:24-782	ABB03004	(gb|CY003601:24-49, 738-1005)
CY003602	ABB03005	gb|CY003602:17-1426
CY003603	ABB03006	gb|CY003603:46-1542
CY003604	ABB03007	gb|CY003604:25-717	ABB03008	(gb|CY003604:25-54, 527-862)
CY003605	ABB03009	gb|CY003605:24-2174
CY003606	ABB03010	gb|CY003606:13-2286	ABB03011	gb|CY003606:107-379
CY003607	ABB03012	gb|CY003607:16-2295
CY003608	ABB03013	gb|CY003608:30-1730
CY003609	ABB03014	gb|CY003609:26-784	ABB03015	(gb|CY003609:26-51, 740-1007)
CY003610	ABB03016	gb|CY003610:20-1429
CY003611	ABB03017	gb|CY003611:46-1542
CY003612	ABB03018	gb|CY003612:27-719	ABB03019	(gb|CY003612:27-56, 529-864)
CY003613	ABB03020	gb|CY003613:25-2175
CY003614	ABB03021	gb|CY003614:13-2286	ABB03022	gb|CY003614:107-346
CY003615	ABB03023	gb|CY003615:28-2307
CY003616	ABB03024	gb|CY003616:30-1730
CY003617	ABB03025	gb|CY003617:26-784	ABB03026	(gb|CY003617:26-51, 740-1007)
CY003618	ABB03027	gb|CY003618:20-1429
CY003619	ABB03028	gb|CY003619:46-1542
CY003620	ABB03029	gb|CY003620:26-718	ABB03030	(gb|CY003620:26-55, 528-863)
CY003621	ABB03031	gb|CY003621:25-2175
CY003622	ABB03032	gb|CY003622:20-2293	ABB03033	gb|CY003622:114-386
CY003623	ABB03034	gb|CY003623:27-2306
CY003624	ABB03035	gb|CY003624:30-1730
CY003625	ABB03036	gb|CY003625:25-783	ABB03037	(gb|CY003625:25-50, 739-1006)
CY003626	ABB03038	gb|CY003626:17-1426
CY003627	ABB03039	gb|CY003627:34-1530
CY003628	ABB03040	gb|CY003628:25-717	ABB03041	(gb|CY003628:25-54, 527-862)
CY003629	ABB03042	gb|CY003629:5-2155
CY003630	ABB03043	gb|CY003630:7-2280	ABB03044	gb|CY003630:101-340
CY003631	ABB03045	gb|CY003631:28-2307
CY003632	ABB03046	gb|CY003632:29-1729
CY003633	ABB03047	gb|CY003633:25-783	ABB03048	(gb|CY003633:25-50, 739-1006)
CY003634	ABB03049	gb|CY003634:8-1417
CY003635	ABB03050	gb|CY003635:34-1530
CY003636	ABB03051	gb|CY003636:25-717	ABB03052	(gb|CY003636:25-54, 527-862)
CY003637	ABB03053	gb|CY003637:23-2173
CY003638	ABB03054	gb|CY003638:7-2280	ABB03055	gb|CY003638:101-373
CY003639	ABB03056	gb|CY003639:27-2306
CY003640	ABB03057	gb|CY003640:30-1730
CY003641	ABB03058	gb|CY003641:14-772	ABB03059	(gb|CY003641:14-39, 728-995)
CY003642	ABB03060	gb|CY003642:18-1427
CY003643	ABB03061	gb|CY003643:34-1530
CY003644	ABB03062	gb|CY003644:27-719	ABB03063	(gb|CY003644:27-56, 529-864)
CY003645	ABB03064	gb|CY003645:25-2175
CY003646	ABB03065	gb|CY003646:25-2298	ABB03066	gb|CY003646:119-391
CY003647	ABB03067	gb|CY003647:28-2307
CY003648	ABB03068	gb|CY003648:28-1728
CY003649	ABB03069	gb|CY003649:23-781	ABB03070	(gb|CY003649:23-48, 737-1004)
CY003650	ABB03071	gb|CY003650:18-1427
CY003651	ABB03072	gb|CY003651:34-1530
CY003652	ABB03073	gb|CY003652:25-717	ABB03074	(gb|CY003652:25-54, 527-862)
CY003653	ABB03075	gb|CY003653:23-2173
CY003654	ABB03076	gb|CY003654:6-2279	ABB03077	gb|CY003654:100-372
CY003655	ABB03078	gb|CY003655:26-2305
CY003656	ABB03079	gb|CY003656:18-1718
CY003657	ABB03080	gb|CY003657:24-782	ABB03081	(gb|CY003657:24-49, 738-1005)
CY003658	ABB03082	gb|CY003658:18-1427
CY003659	ABB03083	gb|CY003659:34-1530
CY003660	ABB03084	gb|CY003660:6-698	ABB03085	(gb|CY003660:6-35, 508-843)
CY003661	ABB03086	gb|CY003661:23-2173
CY003662	ABB03087	gb|CY003662:13-2286	ABB03088	gb|CY003662:107-379
CY003663	ABB03089	gb|CY003663:26-2305
CY003664	ABB03090	gb|CY003664:28-1728
CY003665	ABB03091	gb|CY003665:26-784	ABB03092	(gb|CY003665:26-51, 740-1007)
CY003666	ABB03093	gb|CY003666:20-1429
CY003667	ABB03094	gb|CY003667:34-1530
CY003668	ABB03095	gb|CY003668:6-698	ABB03096	(gb|CY003668:6-35, 508-843)
CY003669	ABB03097	gb|CY003669:13-2163
CY003670	ABB03098	gb|CY003670:13-2286	ABB03099	gb|CY003670:107-379
CY003671	ABB03100	gb|CY003671:16-2295
CY003672	ABB03101	gb|CY003672:22-1719
CY003673	ABB03102	gb|CY003673:1-759	ABB03103	(gb|CY003673:1-26, 715-982)
CY003674	ABB03104	gb|CY003674:17-1426
CY003675	ABB03105	gb|CY003675:34-1530
CY003676	ABB03106	gb|CY003676:15-707	ABB03107	(gb|CY003676:15-44, 517-852)
CY003677	ABB03108	gb|CY003677:23-2173
CY003678	ABB03109	gb|CY003678:1-2274	ABB03110	gb|CY003678:95-367
CY003679	ABB03111	gb|CY003679:26-2305
CY003680	ABB03112	gb|CY003680:18-1718
CY003681	ABB03113	gb|CY003681:26-784	ABB03114	(gb|CY003681:26-51, 740-1007)
CY003682	ABB03115	gb|CY003682:8-1417
CY003683	ABB03116	gb|CY003683:34-1530
